SRR057629	SRR057630	SRR057632	SRR057649	SRR057650	SRR057651
ENSG00000106304	0	2	0	0	1	0
ENSG00000106305	25	30	62	19	33	35
ENSG00000106327	3	1	1	3	2	4
ENSG00000106328	0	0	1	0	1	0
ENSG00000106330	57	25	62	28	32	37
ENSG00000106331	0	0	0	0	0	0
ENSG00000106333	222	94	138	251	118	98
ENSG00000106336	9	1	10	3	7	7
ENSG00000106341	0	0	0	1	0	0
ENSG00000106344	144	102	193	100	105	131
ENSG00000106346	75	50	115	61	59	45
ENSG00000106348	146	98	202	89	100	129
ENSG00000106351	129	110	160	121	114	74
ENSG00000106355	83	43	96	60	37	54
ENSG00000106366	118	394	152	263	421	61
ENSG00000106367	148	93	165	80	101	103
ENSG00000106384	0	0	0	1	0	0
ENSG00000106392	35	65	54	26	33	21
ENSG00000106397	151	96	212	117	92	121
ENSG00000106399	22	11	34	22	23	26
ENSG00000106400	153	86	184	81	90	129
ENSG00000106404	41	12	36	27	25	25
ENSG00000106410	1	0	0	0	1	0
ENSG00000106415	63	97	109	67	89	58
ENSG00000106436	1	1	0	1	0	0
ENSG00000106443	118	101	197	80	113	94
ENSG00000106459	81	56	100	74	69	53
ENSG00000106460	350	208	342	213	181	106
ENSG00000106462	16	22	34	15	21	24
ENSG00000106477	44	26	44	36	22	34
ENSG00000106479	159	106	248	107	97	163
ENSG00000106483	254	248	244	432	257	210
ENSG00000106484	40	21	82	27	30	46
ENSG00000106511	3	3	3	9	4	2
ENSG00000106524	106	38	79	90	60	56
ENSG00000106526	17	20	33	11	13	15
ENSG00000106536	0	0	0	1	0	0
ENSG00000106537	218	426	803	164	341	330
ENSG00000106538	185	57	109	240	103	105
ENSG00000106540	0	0	0	0	0	0
ENSG00000106541	1405	1399	1720	1033	1333	889
ENSG00000106546	224	152	150	250	149	70
ENSG00000106554	487	271	745	305	309	287
ENSG00000106560	20	12	25	22	15	20
ENSG00000106565	41	141	69	110	117	82
ENSG00000106571	150	50	124	196	79	48
ENSG00000106588	65	35	46	40	31	29
ENSG00000106591	196	69	164	137	107	116
ENSG00000106603	134	100	142	90	89	91
ENSG00000106605	87	72	77	93	97	65
ENSG00000106608	313	128	263	184	177	185
ENSG00000106609	670	526	980	577	559	513
ENSG00000106610	30	24	42	14	21	18
ENSG00000106615	101	77	84	85	80	56
ENSG00000106617	194	154	196	121	150	114
ENSG00000106624	1808	594	805	2807	1083	663
ENSG00000106628	221	171	330	131	155	213
ENSG00000106631	0	0	0	0	0	0
ENSG00000106633	1	0	1	2	0	1
ENSG00000106635	144	94	160	122	103	91
ENSG00000106636	306	236	387	229	226	231
ENSG00000106638	146	130	289	91	127	144
ENSG00000106648	0	0	0	1	0	0
ENSG00000106665	145	67	80	168	88	47
ENSG00000106682	719	465	651	548	475	453
ENSG00000106683	98	65	104	103	67	76
ENSG00000106686	30	10	14	23	10	8
ENSG00000106688	42	66	118	24	60	75
ENSG00000106689	0	0	0	0	0	0
ENSG00000106692	112	83	133	46	63	83
ENSG00000106701	20	27	23	5	14	13
ENSG00000106714	13	17	15	4	5	7
ENSG00000106723	688	401	598	606	389	368
ENSG00000106733	127	65	122	107	70	100
ENSG00000106771	425	420	514	357	323	238
ENSG00000106772	908	247	1202	722	543	531
ENSG00000106780	168	75	142	93	94	59
ENSG00000106785	195	257	280	148	205	142
ENSG00000106789	435	237	424	145	147	202
ENSG00000106799	318	213	168	427	163	106
ENSG00000106803	181	156	263	142	151	256
ENSG00000106804	51	46	64	31	33	21
ENSG00000106809	353	36	115	175	91	94
ENSG00000106819	36	132	56	55	138	30
ENSG00000106823	64	67	58	86	59	44
ENSG00000106829	68	37	47	71	52	40
ENSG00000106852	9	3	14	12	8	9
ENSG00000106853	378	192	298	171	194	163
ENSG00000106868	62	66	109	23	63	47
ENSG00000106927	1	0	1	0	1	1
ENSG00000106948	122	119	165	162	118	104
ENSG00000106952	4	3	2	10	12	0
ENSG00000106976	87	44	49	92	52	43
ENSG00000106991	293	217	302	406	221	175
ENSG00000106992	9	2	9	10	7	6
ENSG00000106993	89	76	87	88	91	69
ENSG00000107014	20	2	4	0	2	1
ENSG00000107018	556	0	7	0	1	5
ENSG00000107020	51	21	30	25	17	23
ENSG00000107021	196	104	206	133	118	119
ENSG00000107036	144	109	126	102	101	55
ENSG00000107077	132	96	193	100	122	105
ENSG00000107099	159	86	114	122	73	75
ENSG00000107104	638	178	385	594	336	210
ENSG00000107105	0	32	33	1	12	8
ENSG00000107130	355	78	129	360	210	89
ENSG00000107140	127	109	151	97	109	116
ENSG00000107147	2	3	7	5	1	3
ENSG00000107159	1	0	2	3	1	1
ENSG00000107164	316	209	327	207	177	190
ENSG00000107165	0	5	3	0	10	1
ENSG00000107175	307	117	251	189	148	132
ENSG00000107185	243	168	296	213	199	152
ENSG00000107186	344	248	399	282	264	180
ENSG00000107187	0	0	0	1	0	0
ENSG00000107201	72	208	96	76	94	56
ENSG00000107223	535	403	784	376	410	559
ENSG00000107242	29	7	6	21	11	6
ENSG00000107249	56	28	22	73	34	25
ENSG00000107262	228	156	212	205	167	172
ENSG00000107263	322	247	320	350	242	184
ENSG00000107281	1135	485	1158	494	523	709
ENSG00000107282	25	78	104	50	46	26
ENSG00000107290	447	439	471	317	342	233
ENSG00000107295	19	26	7	3	11	11
ENSG00000107317	1334	181	503	1094	469	403
ENSG00000107331	538	344	628	326	392	359
ENSG00000107338	61	63	38	75	59	45
ENSG00000107341	359	267	394	258	278	272
ENSG00000107362	92	109	94	75	90	48
ENSG00000107371	46	32	59	24	28	40
ENSG00000107372	524	653	640	564	568	311
ENSG00000107404	201	131	273	148	133	139
ENSG00000107438	216	89	120	342	154	93
ENSG00000107443	51	50	66	36	42	43
ENSG00000107447	0	0	1	0	0	0
ENSG00000107485	88	24	33	123	36	34
ENSG00000107518	124	32	30	73	27	12
ENSG00000107521	285	50	94	213	126	66
ENSG00000107537	128	122	131	54	99	88
ENSG00000107551	76	62	85	110	66	83
ENSG00000107554	182	87	288	157	104	151
ENSG00000107560	148	59	131	97	57	52
ENSG00000107562	387	78	133	385	163	76
ENSG00000107566	156	103	240	137	116	126
ENSG00000107581	1073	724	1338	731	707	687
ENSG00000107593	1	1	0	0	2	0
ENSG00000107611	27	19	28	21	18	16
ENSG00000107614	37	18	46	27	26	17
ENSG00000107618	0	0	1	1	0	0
ENSG00000107623	4	0	1	2	1	4
ENSG00000107625	107	78	82	99	83	66
ENSG00000107643	153	114	197	136	135	122
ENSG00000107651	327	230	422	188	216	181
ENSG00000107669	287	130	190	121	116	86
ENSG00000107672	208	146	261	164	135	157
ENSG00000107679	116	94	141	172	101	84
ENSG00000107719	56	40	32	70	43	28
ENSG00000107731	411	85	105	367	124	57
ENSG00000107736	70	18	21	108	12	11
ENSG00000107738	122	56	91	186	88	43
ENSG00000107742	63	96	113	167	131	94
ENSG00000107745	199	147	230	188	161	132
ENSG00000107758	291	190	257	227	211	134
ENSG00000107771	238	130	171	173	123	96
ENSG00000107779	166	172	147	160	148	76
ENSG00000107789	72	46	78	48	51	42
ENSG00000107796	7377	1128	2808	8826	4150	1699
ENSG00000107798	196	170	328	223	194	170
ENSG00000107807	0	0	2	1	0	1
ENSG00000107815	41	18	60	21	24	57
ENSG00000107816	367	124	338	336	157	212
ENSG00000107819	278	111	107	246	147	89
ENSG00000107821	76	9	84	53	23	59
ENSG00000107829	303	182	344	228	205	217
ENSG00000107831	0	0	0	0	0	0
ENSG00000107833	24	18	70	25	30	32
ENSG00000107854	460	340	490	329	262	225
ENSG00000107859	0	0	0	0	1	0
ENSG00000107862	764	527	1019	495	453	466
ENSG00000107863	170	141	185	184	153	87
ENSG00000107864	102	72	62	44	47	45
ENSG00000107872	21	23	45	24	24	22
ENSG00000107874	110	85	120	104	101	101
ENSG00000107882	215	91	199	106	110	108
ENSG00000107890	48	47	48	33	19	30
ENSG00000107897	193	119	202	109	99	75
ENSG00000107902	69	34	80	53	43	35
ENSG00000107929	518	350	613	296	316	328
ENSG00000107937	127	125	192	97	130	110
ENSG00000107938	115	171	598	77	137	239
ENSG00000107949	180	117	244	120	123	176
ENSG00000107951	92	67	139	47	68	71
ENSG00000107954	16	9	10	8	2	7
ENSG00000107957	578	262	327	589	362	180
ENSG00000107959	392	209	418	283	233	231
ENSG00000107960	48	28	57	55	39	37
ENSG00000107968	66	73	57	95	78	28
ENSG00000107984	21	15	9	60	50	9
ENSG00000108001	16	7	16	13	10	9
ENSG00000108010	68	44	72	62	63	67
ENSG00000108018	4	8	4	16	5	4
ENSG00000108021	243	208	348	176	147	165
ENSG00000108039	391	148	339	177	164	202
ENSG00000108055	161	138	207	163	110	134
ENSG00000108061	211	212	142	150	191	67
ENSG00000108064	132	106	198	111	94	110
ENSG00000108091	430	448	592	424	314	286
ENSG00000108094	181	86	175	112	100	72
ENSG00000108100	264	217	379	230	264	190
ENSG00000108106	15	15	13	12	8	5
ENSG00000108107	925	785	1178	812	833	809
ENSG00000108175	884	445	841	706	419	450
ENSG00000108176	17	10	18	22	13	12
ENSG00000108179	125	91	173	82	80	108
ENSG00000108187	44	58	73	27	46	45
ENSG00000108219	448	330	674	309	314	340
ENSG00000108231	0	0	1	0	1	0
ENSG00000108239	104	79	87	77	61	51
ENSG00000108242	0	0	0	0	0	0
ENSG00000108244	100	30	25	97	76	24
ENSG00000108255	0	0	0	0	0	2
ENSG00000108256	331	269	422	269	235	216
ENSG00000108262	173	98	197	179	125	122
ENSG00000108264	90	44	99	78	56	52
ENSG00000108270	96	92	171	86	103	115
ENSG00000108272	51	50	87	35	33	56
ENSG00000108278	129	66	105	90	65	69
ENSG00000108292	980	729	1337	886	684	870
ENSG00000108294	158	131	198	138	144	134
ENSG00000108296	94	103	138	98	109	92
ENSG00000108298	708	612	852	804	718	957
ENSG00000108306	31	44	42	26	33	14
ENSG00000108309	5	2	6	4	2	2
ENSG00000108312	520	294	718	376	322	431
ENSG00000108342	0	7	2	0	5	1
ENSG00000108344	479	339	619	311	302	337
ENSG00000108349	602	372	666	511	406	421
ENSG00000108352	101	22	47	54	36	37
ENSG00000108370	20	1	13	24	9	6
ENSG00000108375	228	94	228	150	126	171
ENSG00000108379	11	5	12	12	4	7
ENSG00000108381	41	7	10	47	16	10
ENSG00000108384	69	47	77	47	51	59
ENSG00000108387	26	23	26	29	28	20
ENSG00000108389	367	227	546	237	219	236
ENSG00000108395	155	140	217	111	126	111
ENSG00000108405	103	14	45	69	52	49
ENSG00000108406	206	122	218	181	137	107
ENSG00000108417	0	0	0	0	1	0
ENSG00000108423	44	32	62	35	32	40
ENSG00000108424	763	601	942	670	598	604
ENSG00000108433	131	69	160	77	66	77
ENSG00000108439	74	26	97	48	32	68
ENSG00000108442	0	0	0	0	0	0
ENSG00000108443	148	139	221	120	113	95
ENSG00000108448	23	8	19	22	11	19
ENSG00000108452	0	0	0	0	0	0
ENSG00000108465	559	394	874	461	421	664
ENSG00000108468	163	137	209	161	155	134
ENSG00000108469	120	58	155	93	76	104
ENSG00000108474	102	58	124	63	50	69
ENSG00000108479	27	12	23	18	12	21
ENSG00000108506	86	34	79	57	38	39
ENSG00000108509	259	157	382	185	174	152
ENSG00000108510	303	266	268	159	211	124
ENSG00000108511	1	1	3	5	2	3
ENSG00000108515	24	11	46	20	18	18
ENSG00000108516	0	0	0	0	0	0
ENSG00000108518	841	508	1100	806	680	778
ENSG00000108523	274	188	409	242	212	206
ENSG00000108528	163	78	192	134	102	129
ENSG00000108551	40	437	187	19	278	75
ENSG00000108556	2	5	5	4	2	0
ENSG00000108557	359	178	220	268	152	108
ENSG00000108559	142	115	146	112	123	100
ENSG00000108561	187	114	267	133	134	171
ENSG00000108576	0	29	6	5	23	2
ENSG00000108578	111	66	125	91	88	79
ENSG00000108582	606	685	1000	364	420	412
ENSG00000108587	249	191	328	161	169	165
ENSG00000108588	545	403	785	416	432	434
ENSG00000108590	18	9	24	12	15	9
ENSG00000108591	164	104	235	95	121	135
ENSG00000108592	249	182	303	215	219	230
ENSG00000108599	148	101	137	128	129	69
ENSG00000108602	9	1	5	4	2	1
ENSG00000108604	343	245	487	248	242	289
ENSG00000108622	6	5	8	8	9	5
ENSG00000108639	628	618	1490	306	570	752
ENSG00000108641	39	26	69	21	25	57
ENSG00000108651	162	126	199	115	148	128
ENSG00000108654	4261	3991	6727	3260	3835	3685
ENSG00000108666	66	34	93	48	37	51
ENSG00000108669	560	280	501	264	296	316
ENSG00000108671	338	263	393	234	269	224
ENSG00000108679	932	529	435	766	470	318
ENSG00000108684	2	7	2	4	4	0
ENSG00000108688	0	1	0	1	2	0
ENSG00000108691	66	271	129	214	450	106
ENSG00000108700	1	6	3	4	7	2
ENSG00000108702	1	0	0	0	0	0
ENSG00000108733	59	15	45	34	29	24
ENSG00000108753	34	1	71	18	8	45
ENSG00000108759	0	1	1	0	1	1
ENSG00000108771	102	138	123	82	85	67
ENSG00000108773	325	212	509	231	201	299
ENSG00000108774	200	140	238	162	143	168
ENSG00000108784	191	108	350	96	121	168
ENSG00000108785	6	4	7	2	4	2
ENSG00000108786	12	12	19	14	14	10
ENSG00000108788	123	134	221	77	117	113
ENSG00000108797	102	30	67	134	90	44
ENSG00000108798	18	23	20	25	17	28
ENSG00000108799	288	162	273	293	200	176
ENSG00000108813	2	2	2	0	0	2
ENSG00000108819	185	138	243	178	163	156
ENSG00000108821	2746	1665	1111	3088	2475	746
ENSG00000108823	82	12	35	85	29	18
ENSG00000108825	0	0	0	0	0	0
ENSG00000108826	87	71	150	64	68	98
ENSG00000108828	573	208	281	447	287	264
ENSG00000108829	485	394	801	290	388	485
ENSG00000108830	28	4	9	25	14	15
ENSG00000108839	7	10	23	6	6	11
ENSG00000108840	302	144	329	253	157	163
ENSG00000108846	89	33	146	149	57	137
ENSG00000108848	834	532	1051	738	567	745
ENSG00000108849	0	0	0	0	1	1
ENSG00000108852	91	16	38	82	40	23
ENSG00000108854	173	133	214	146	123	126
ENSG00000108861	558	185	366	610	327	208
ENSG00000108878	7	0	1	0	1	2
ENSG00000108883	281	112	313	226	135	172
ENSG00000108924	149	30	106	140	67	75
ENSG00000108932	2	6	5	8	4	3
ENSG00000108946	1033	657	830	921	689	401
ENSG00000108947	36	1	18	14	7	11
ENSG00000108950	21	23	26	42	31	20
ENSG00000108953	1105	1009	1627	716	953	1102
ENSG00000108958	50	26	52	37	30	13
ENSG00000108960	29	24	25	37	25	28
ENSG00000108961	28	13	29	13	17	21
ENSG00000108963	204	197	301	118	180	130
ENSG00000108984	22	19	58	8	16	53
ENSG00000109016	128	64	172	79	68	69
ENSG00000109046	1382	985	1032	1249	939	543
ENSG00000109047	1	0	0	0	2	0
ENSG00000109061	6	2	0	9	1	1
ENSG00000109062	322	238	330	180	201	197
ENSG00000109063	233	23	52	285	41	43
ENSG00000109065	146	122	232	104	132	128
ENSG00000109066	74	45	109	59	54	48
ENSG00000109072	3	0	1	0	1	6
ENSG00000109079	181	135	193	162	162	126
ENSG00000109083	99	76	134	54	86	74
ENSG00000109084	127	40	95	61	41	69
ENSG00000109089	93	116	103	61	95	47
ENSG00000109099	170	85	86	271	151	77
ENSG00000109101	4	4	4	3	2	3
ENSG00000109103	120	77	117	70	73	92
ENSG00000109107	78	43	44	63	55	37
ENSG00000109111	775	508	865	652	548	503
ENSG00000109113	210	71	149	218	130	147
ENSG00000109118	459	739	1905	278	613	952
ENSG00000109132	0	0	0	0	1	0
ENSG00000109133	310	210	351	136	204	190
ENSG00000109158	0	0	2	0	0	0
ENSG00000109163	2	0	2	0	0	1
ENSG00000109171	374	258	467	283	232	236
ENSG00000109180	461	297	526	297	325	336
ENSG00000109181	0	0	0	0	0	0
ENSG00000109182	266	157	355	90	173	125
ENSG00000109184	211	85	184	179	108	94
ENSG00000109189	151	93	100	88	101	58
ENSG00000109193	0	1	2	2	1	2
ENSG00000109205	14	0	2	12	4	0
ENSG00000109208	4	0	0	2	0	0
ENSG00000109220	34	21	24	31	31	27
ENSG00000109255	1	0	2	0	0	0
ENSG00000109265	26	14	7	42	23	12
ENSG00000109270	197	126	203	140	136	115
ENSG00000109272	0	0	0	0	1	0
ENSG00000109320	245	189	232	285	217	150
ENSG00000109321	0	3	0	0	2	0
ENSG00000109323	142	190	308	140	179	132
ENSG00000109332	593	581	755	510	571	432
ENSG00000109339	273	185	469	194	317	295
ENSG00000109381	201	141	180	179	129	123
ENSG00000109390	131	87	158	91	104	124
ENSG00000109424	0	0	0	0	0	1
ENSG00000109436	338	318	267	212	236	136
ENSG00000109445	120	73	150	87	94	87
ENSG00000109452	95	60	79	61	34	31
ENSG00000109458	108	60	90	106	47	45
ENSG00000109466	92	60	79	67	61	49
ENSG00000109471	0	1	0	0	0	1
ENSG00000109472	2155	1510	787	868	1698	510
ENSG00000109475	630	467	881	639	614	808
ENSG00000109501	527	147	493	444	235	264
ENSG00000109511	0	1	0	0	0	0
ENSG00000109519	85	55	107	70	76	64
ENSG00000109534	50	50	68	41	35	51
ENSG00000109536	64	25	64	49	37	44
ENSG00000109572	698	554	808	385	396	294
ENSG00000109576	190	160	349	74	101	165
ENSG00000109586	498	737	1883	259	455	787
ENSG00000109606	513	431	833	382	390	392
ENSG00000109610	196	156	227	213	166	169
ENSG00000109618	66	43	99	39	44	44
ENSG00000109625	4	1	7	1	3	2
ENSG00000109654	423	384	389	255	218	174
ENSG00000109667	15	7	10	18	18	10
ENSG00000109670	94	66	100	81	62	63
ENSG00000109674	0	1	0	0	1	1
ENSG00000109680	31	29	27	33	16	9
ENSG00000109684	1	2	7	4	3	3
ENSG00000109685	239	184	362	182	195	185
ENSG00000109686	353	208	304	414	255	197
ENSG00000109689	259	198	285	186	167	174
ENSG00000109705	3	0	2	1	3	0
ENSG00000109736	155	128	265	102	134	152
ENSG00000109738	28	14	25	42	12	17
ENSG00000109743	14	2	5	12	8	5
ENSG00000109756	197	144	223	131	134	120
ENSG00000109758	3	3	3	1	1	0
ENSG00000109762	168	99	126	57	71	95
ENSG00000109771	42	27	44	31	24	30
ENSG00000109775	116	76	119	87	78	65
ENSG00000109787	387	354	562	328	348	241
ENSG00000109790	219	100	123	242	147	58
ENSG00000109794	93	96	162	39	63	84
ENSG00000109805	5	0	5	5	4	4
ENSG00000109814	232	482	471	181	422	203
ENSG00000109819	32	11	20	34	26	14
ENSG00000109832	1	0	2	2	0	0
ENSG00000109846	209	37	78	234	93	62
ENSG00000109851	0	0	0	0	0	0
ENSG00000109854	80	93	78	48	70	83
ENSG00000109861	101	139	96	156	122	62
ENSG00000109881	30	21	26	19	22	34
ENSG00000109906	158	114	227	45	59	94
ENSG00000109911	26	18	45	25	31	23
ENSG00000109917	85	63	85	73	74	66
ENSG00000109919	260	217	313	152	205	207
ENSG00000109920	464	406	693	384	376	414
ENSG00000109927	17	9	32	7	7	13
ENSG00000109929	887	562	908	473	416	374
ENSG00000109943	1	2	5	3	2	4
ENSG00000109944	34	31	24	16	22	14
ENSG00000109956	77	223	555	43	175	350
ENSG00000109971	2816	2917	3768	1701	2561	1868
ENSG00000109991	0	1	1	0	1	1
ENSG00000110002	126	61	102	173	93	62
ENSG00000110011	133	66	200	80	68	102
ENSG00000110013	242	89	333	133	108	167
ENSG00000110025	12	1	19	9	9	12
ENSG00000110031	76	51	67	73	52	42
ENSG00000110042	95	33	81	108	49	57
ENSG00000110046	232	102	246	149	119	128
ENSG00000110047	141	90	177	169	134	91
ENSG00000110048	533	352	640	327	301	281
ENSG00000110057	52	59	87	56	48	46
ENSG00000110060	39	31	60	28	28	26
ENSG00000110063	48	27	64	44	38	35
ENSG00000110066	317	284	404	192	207	169
ENSG00000110074	126	83	244	88	75	122
ENSG00000110075	522	382	519	337	329	284
ENSG00000110076	55	31	28	54	46	35
ENSG00000110077	70	114	72	124	122	58
ENSG00000110079	19	41	23	31	34	16
ENSG00000110080	73	86	93	82	106	68
ENSG00000110090	574	352	483	320	322	285
ENSG00000110092	1039	459	893	790	636	458
ENSG00000110104	76	38	71	41	48	56
ENSG00000110107	607	289	667	416	372	431
ENSG00000110108	404	169	305	330	237	172
ENSG00000110148	13	0	2	9	0	0
ENSG00000110169	26	29	35	17	21	24
ENSG00000110171	149	129	276	92	109	154
ENSG00000110172	116	116	133	94	88	78
ENSG00000110195	2	2	1	6	6	2
ENSG00000110200	41	19	48	18	21	25
ENSG00000110203	0	0	0	0	0	1
ENSG00000110218	50	41	43	44	49	29
ENSG00000110237	439	144	349	512	307	190
ENSG00000110243	0	0	1	0	0	0
ENSG00000110244	0	0	0	0	1	0
ENSG00000110245	0	0	0	0	0	0
ENSG00000110274	138	84	172	140	125	127
ENSG00000110315	303	241	297	185	228	153
ENSG00000110318	37	25	30	38	29	21
ENSG00000110321	3825	2854	3905	3177	2980	2101
ENSG00000110324	64	74	82	102	82	87
ENSG00000110328	49	44	80	68	50	71
ENSG00000110330	203	190	218	142	194	147
ENSG00000110344	278	176	250	120	136	105
ENSG00000110347	5	11	8	8	6	1
ENSG00000110367	436	394	533	292	340	223
ENSG00000110375	2	1	1	1	0	1
ENSG00000110395	134	92	106	121	78	76
ENSG00000110400	271	100	192	164	143	129
ENSG00000110422	427	317	392	346	273	172
ENSG00000110427	1	3	3	0	3	0
ENSG00000110429	218	151	211	144	169	102
ENSG00000110435	155	89	153	113	70	90
ENSG00000110436	9	5	8	9	4	4
ENSG00000110442	53	34	85	53	52	39
ENSG00000110446	32	34	59	55	53	39
ENSG00000110448	10	20	19	15	17	18
ENSG00000110455	155	183	283	120	247	172
ENSG00000110484	0	0	0	0	0	0
ENSG00000110492	367	326	374	195	264	235
ENSG00000110497	154	114	176	125	111	98
ENSG00000110514	491	261	441	331	284	255
ENSG00000110536	43	38	51	24	29	35
ENSG00000110583	120	75	173	99	79	107
ENSG00000110619	146	131	188	134	100	123
ENSG00000110628	65	35	90	37	51	82
ENSG00000110651	2255	902	1649	1832	1372	1039
ENSG00000110660	165	126	337	71	140	199
ENSG00000110665	3	14	9	13	13	3
ENSG00000110675	9	0	0	13	2	0
ENSG00000110680	5	6	6	7	4	2
ENSG00000110693	7	7	11	8	8	6
ENSG00000110696	397	351	295	331	342	153
ENSG00000110697	119	57	93	133	70	59
ENSG00000110700	523	443	772	441	478	594
ENSG00000110711	182	66	149	131	111	105
ENSG00000110713	497	365	561	397	377	292
ENSG00000110717	201	91	273	134	119	194
ENSG00000110719	283	107	169	302	179	152
ENSG00000110721	167	138	339	84	128	218
ENSG00000110723	64	59	104	48	41	52
ENSG00000110756	74	59	108	74	46	43
ENSG00000110768	132	90	141	126	110	90
ENSG00000110777	9	30	17	24	18	14
ENSG00000110786	2	3	5	4	2	4
ENSG00000110799	377	265	751	434	340	244
ENSG00000110801	33	21	65	26	32	30
ENSG00000110811	177	30	88	183	68	62
ENSG00000110841	396	237	405	373	225	203
ENSG00000110844	59	41	87	70	57	61
ENSG00000110848	16	93	17	29	42	19
ENSG00000110851	148	66	143	112	88	97
ENSG00000110852	24	29	16	35	21	13
ENSG00000110871	82	55	137	58	69	100
ENSG00000110876	15	45	37	34	45	21
ENSG00000110880	475	172	258	571	352	192
ENSG00000110881	41	9	30	28	16	26
ENSG00000110887	0	0	0	0	1	0
ENSG00000110888	170	147	216	160	165	130
ENSG00000110900	47	17	33	48	29	32
ENSG00000110906	497	297	357	679	441	192
ENSG00000110911	383	274	568	430	349	332
ENSG00000110917	1740	1072	3249	1154	1099	1530
ENSG00000110921	104	32	116	46	36	59
ENSG00000110925	157	149	160	147	130	122
ENSG00000110931	458	1222	2041	231	956	814
ENSG00000110934	8	26	23	20	28	20
ENSG00000110944	3	1	4	5	3	1
ENSG00000110955	1546	1234	2298	1019	1344	1350
ENSG00000110958	440	381	564	358	384	365
ENSG00000110975	3	4	4	3	0	1
ENSG00000110987	67	62	94	79	75	54
ENSG00000111011	323	302	533	258	274	290
ENSG00000111012	7	8	8	4	2	3
ENSG00000111046	0	0	0	0	1	0
ENSG00000111049	0	0	0	0	0	0
ENSG00000111052	12	12	23	9	8	19
ENSG00000111057	491	516	880	271	427	525
ENSG00000111058	83	13	39	84	43	22
ENSG00000111077	430	202	522	540	315	342
ENSG00000111087	41	15	36	37	22	26
ENSG00000111110	527	531	1172	156	365	602
ENSG00000111142	264	199	295	203	189	189
ENSG00000111144	263	199	350	246	237	200
ENSG00000111145	93	114	88	165	92	45
ENSG00000111181	2	2	2	1	3	2
ENSG00000111186	125	165	196	123	135	110
ENSG00000111196	18	28	37	29	36	31
ENSG00000111199	36	25	48	33	37	25
ENSG00000111203	160	105	222	110	109	112
ENSG00000111206	17	16	25	8	12	15
ENSG00000111215	16	20	34	7	27	33
ENSG00000111218	0	0	1	1	0	1
ENSG00000111224	155	108	182	90	90	108
ENSG00000111229	164	121	211	134	140	157
ENSG00000111231	88	41	77	55	43	60
ENSG00000111237	261	169	297	225	190	164
ENSG00000111241	1	0	0	0	0	0
ENSG00000111245	0	0	0	1	0	0
ENSG00000111247	4	3	14	5	3	5
ENSG00000111249	519	296	418	134	223	224
ENSG00000111252	76	124	111	124	106	77
ENSG00000111254	19	3	8	11	8	9
ENSG00000111261	166	197	337	151	181	149
ENSG00000111262	1	0	0	0	0	1
ENSG00000111266	370	316	330	180	223	133
ENSG00000111269	362	266	357	236	287	166
ENSG00000111271	158	109	251	93	113	117
ENSG00000111275	459	100	141	351	197	142
ENSG00000111276	234	166	198	162	164	115
ENSG00000111291	2	8	15	2	4	12
ENSG00000111300	168	121	201	103	97	97
ENSG00000111305	0	0	1	1	0	0
ENSG00000111319	688	132	238	657	331	237
ENSG00000111321	463	371	625	331	331	384
ENSG00000111325	8	4	21	6	3	7
ENSG00000111328	232	86	242	180	127	111
ENSG00000111331	100	515	164	87	142	75
ENSG00000111335	87	742	232	67	196	122
ENSG00000111339	4	2	1	2	1	1
ENSG00000111341	1850	2026	1552	4589	2563	1333
ENSG00000111344	6	0	6	0	6	4
ENSG00000111348	137	524	497	288	402	280
ENSG00000111358	103	57	137	88	62	58
ENSG00000111361	231	140	344	166	157	167
ENSG00000111364	89	64	203	66	91	134
ENSG00000111371	581	335	466	338	283	222
ENSG00000111404	2	3	4	9	13	7
ENSG00000111405	0	1	2	1	0	1
ENSG00000111412	65	62	87	84	66	48
ENSG00000111424	13	32	20	32	20	9
ENSG00000111432	24	9	21	14	20	15
ENSG00000111445	50	38	64	44	43	39
ENSG00000111450	77	58	42	81	37	40
ENSG00000111452	38	32	39	35	18	28
ENSG00000111481	573	380	670	312	395	450
ENSG00000111490	80	44	105	33	71	65
ENSG00000111530	554	383	517	389	328	289
ENSG00000111536	0	0	0	0	0	0
ENSG00000111537	0	2	0	1	1	1
ENSG00000111540	213	108	250	157	134	119
ENSG00000111554	57	30	54	52	35	46
ENSG00000111581	137	84	137	113	89	71
ENSG00000111596	242	187	289	224	159	161
ENSG00000111602	77	55	131	50	51	69
ENSG00000111605	353	307	502	256	252	247
ENSG00000111615	98	42	118	71	44	48
ENSG00000111639	164	94	211	133	122	163
ENSG00000111640	1351	788	1558	1031	961	822
ENSG00000111641	72	95	168	54	74	134
ENSG00000111642	797	514	833	722	594	460
ENSG00000111644	18	6	20	10	4	16
ENSG00000111647	127	87	87	59	79	43
ENSG00000111652	328	182	392	205	194	203
ENSG00000111653	130	90	188	94	81	126
ENSG00000111664	43	11	32	59	17	17
ENSG00000111665	27	10	32	22	14	16
ENSG00000111666	198	104	241	175	109	94
ENSG00000111667	338	180	407	199	201	272
ENSG00000111669	469	373	542	381	425	440
ENSG00000111670	420	604	639	334	457	224
ENSG00000111671	10	13	11	6	17	12
ENSG00000111674	103	41	90	211	98	72
ENSG00000111676	954	499	976	791	554	506
ENSG00000111678	199	114	250	118	107	164
ENSG00000111679	121	112	182	120	119	145
ENSG00000111684	300	309	500	198	263	297
